Company,TypeName,Ram,OpSys
Apple,Ultrabook,8GB,macOS
Apple,Ultrabook,8GB,macOS
HP,Notebook,8GB,No OS
Apple,Ultrabook,16GB,macOS
Apple,Ultrabook,8GB,macOS
Acer,Notebook,4GB,Windows 10
Apple,Ultrabook,16GB,Mac OS X
Apple,Ultrabook,8GB,macOS
Asus,Ultrabook,16GB,Windows 10
Acer,Ultrabook,8GB,Windows 10
HP,Notebook,4GB,No OS
HP,Notebook,4GB,No OS
Apple,Ultrabook,16GB,macOS
Dell,Notebook,4GB,Windows 10
Apple,Ultrabook,8GB,macOS
Apple,Ultrabook,8GB,macOS
Dell,Notebook,8GB,Windows 10
Apple,Ultrabook,16GB,macOS
Lenovo,Notebook,8GB,No OS
Dell,Ultrabook,8GB,Windows 10
,,,
Lenovo,Gaming,8GB,Windows 10
HP,Notebook,4GB,No OS
Dell,2 in 1 Convertible,8GB,Windows 10
HP,Ultrabook,8GB,Windows 10
Dell,Notebook,4GB,Windows 10
Apple,Ultrabook,8GB,Mac OS X
Dell,Notebook,8GB,Windows 10
Dell,Ultrabook,8GB,Windows 10
HP,Notebook,8GB,Windows 10
Chuwi,Notebook,4GB,Windows 10
Asus,Notebook,2GB,Windows 10
HP,Notebook,4GB,Windows 10
Dell,Ultrabook,16GB,Windows 10
Apple,Ultrabook,8GB,Mac OS X
Lenovo,Notebook,4GB,Windows 10
Acer,Notebook,4GB,Linux
Dell,Notebook,8GB,Windows 10
HP,Notebook,4GB,Windows 10
HP,Notebook,8GB,Windows 10
Asus,Notebook,4GB,Linux
Dell,Gaming,16GB,Windows 10
Asus,Notebook,8GB,Linux
Acer,Notebook,4GB,Windows 10
Dell,2 in 1 Convertible,12GB,Windows 10
Apple,Ultrabook,8GB,macOS
,,,
Asus,Gaming,8GB,Windows 10
Dell,Notebook,4GB,Windows 10
Asus,Notebook,4GB,Windows 10
,,,
Acer,Notebook,8GB,Windows 10
HP,Notebook,4GB,Windows 10
HP,Notebook,8GB,Windows 10
Acer,Notebook,4GB,Windows 10
Dell,Notebook,8GB,Windows 10
HP,Notebook,4GB,Windows 10
Asus,Notebook,4GB,Windows 10
MSI,Gaming,16GB,Windows 10
Asus,Notebook,4GB,Linux
Dell,Notebook,16GB,Windows 10
Dell,Ultrabook,8GB,Windows 10
Lenovo,Notebook,8GB,No OS
Asus,Notebook,8GB,Windows 10
HP,Notebook,8GB,Windows 10
Asus,Ultrabook,16GB,Windows 10
HP,Notebook,4GB,Windows 10
HP,Notebook,4GB,Windows 10
Lenovo,Notebook,4GB,Windows 10
Asus,Gaming,12GB,Linux
Microsoft,Ultrabook,4GB,Windows 10 S
Dell,Ultrabook,64GB,Windows 10
Dell,Notebook,8GB,Windows 10
MSI,Gaming,8GB,Windows 10
Acer,Notebook,8GB,Windows 10
Asus,Gaming,8GB,Windows 10
Lenovo,Notebook,8GB,No OS
Dell,Notebook,8GB,Windows 10
Acer,Notebook,4GB,Windows 10
HP,Notebook,8GB,Windows 10
Dell,Ultrabook,8GB,Windows 10
Apple,Ultrabook,8GB,macOS
HP,Notebook,8GB,Windows 10
Lenovo,Notebook,4GB,Windows 10
Acer,Notebook,4GB,Windows 10
Dell,Gaming,16GB,Windows 10
HP,Ultrabook,8GB,Windows 10
HP,Notebook,8GB,Windows 10
Asus,Gaming,16GB,Windows 10
Dell,Ultrabook,8GB,Windows 10
Asus,Gaming,8GB,Windows 10
Acer,Notebook,2GB,Windows 10
HP,Notebook,16GB,Windows 10
Dell,Gaming,8GB,Windows 10
Asus,Ultrabook,8GB,Windows 10
Acer,2 in 1 Convertible,8GB,Windows 10
Dell,Notebook,8GB,Linux
Dell,Notebook,4GB,Linux
Asus,Notebook,6GB,Windows 10
HP,Gaming,12GB,Windows 10
HP,Notebook,8GB,Windows 10
HP,Notebook,4GB,Windows 10
Dell,Notebook,8GB,Linux
HP,Ultrabook,8GB,Windows 10
Microsoft,Ultrabook,8GB,Windows 10 S
HP,Notebook,6GB,Windows 10
Lenovo,Notebook,4GB,Windows 10
Asus,Ultrabook,8GB,Windows 10
MSI,Gaming,16GB,Windows 10
Lenovo,Notebook,8GB,Windows 10
Asus,Ultrabook,16GB,Windows 10
Dell,Ultrabook,8GB,Windows 10
Lenovo,2 in 1 Convertible,8GB,Windows 10
HP,Notebook,4GB,Windows 10
Dell,Ultrabook,8GB,Windows 10
,,,
HP,Notebook,8GB,Windows 10
Dell,Notebook,8GB,Windows 10
Asus,Notebook,4GB,Windows 10
Asus,Notebook,8GB,Windows 10
Acer,Notebook,6GB,Windows 10
MSI,Gaming,16GB,Windows 10
Lenovo,Notebook,8GB,No OS
HP,Notebook,16GB,Windows 10
Acer,Notebook,4GB,Windows 10
,,,
HP,Notebook,8GB,Windows 10
Asus,Notebook,4GB,Windows 10 S
Dell,Notebook,16GB,Windows 10
HP,Notebook,8GB,Windows 10
Dell,Notebook,8GB,Windows 10
Dell,Notebook,4GB,Windows 10
Acer,Ultrabook,8GB,Windows 10
Acer,Notebook,4GB,Windows 10
HP,Notebook,8GB,Windows 10
HP,Notebook,8GB,Windows 10
Lenovo,Notebook,4GB,No OS
Asus,Gaming,8GB,Windows 10
Lenovo,Notebook,4GB,No OS
HP,Notebook,4GB,Windows 10
Acer,Notebook,4GB,Windows 10
Lenovo,Notebook,8GB,Windows 10
Lenovo,Gaming,8GB,No OS
Toshiba,Notebook,4GB,Windows 10
HP,Notebook,4GB,Windows 10
Asus,Ultrabook,8GB,Windows 10
HP,Ultrabook,8GB,Windows 10
Asus,Notebook,4GB,Windows 10
,,,
Acer,Notebook,4GB,Windows 10
Dell,Gaming,16GB,Windows 10
Dell,Gaming,8GB,Windows 10
Lenovo,Notebook,4GB,Windows 10
MSI,Gaming,16GB,Windows 10
HP,Ultrabook,4GB,Windows 10
HP,Notebook,6GB,Windows 10
Lenovo,2 in 1 Convertible,4GB,Windows 10
Asus,2 in 1 Convertible,8GB,Windows 10
Dell,2 in 1 Convertible,8GB,Windows 10
Toshiba,Notebook,4GB,Windows 10
Asus,Notebook,4GB,Windows 10
Acer,Notebook,4GB,Windows 10
Dell,Notebook,8GB,Windows 10
Lenovo,Gaming,16GB,Windows 10
Acer,Notebook,4GB,Windows 10
MSI,Gaming,16GB,Windows 10
Acer,Notebook,4GB,Windows 10
Dell,Gaming,8GB,Windows 10
Acer,Notebook,8GB,Windows 10
HP,Notebook,4GB,Windows 10
Huawei,Ultrabook,8GB,Windows 10
HP,Notebook,6GB,Windows 10
Lenovo,Notebook,4GB,No OS
Toshiba,Notebook,4GB,Windows 10
HP,Notebook,8GB,Windows 10
Dell,Notebook,8GB,Windows 10
Acer,Notebook,4GB,Windows 10
MSI,Gaming,32GB,Windows 10
Lenovo,Notebook,8GB,Windows 10
HP,2 in 1 Convertible,8GB,Windows 10
Dell,Notebook,16GB,Linux
Dell,Ultrabook,8GB,Windows 10
Lenovo,2 in 1 Convertible,16GB,Windows 10
Toshiba,Notebook,8GB,Windows 10
Xiaomi,Notebook,8GB,No OS
Dell,Notebook,16GB,Windows 10
Dell,Notebook,16GB,Windows 10
Lenovo,Gaming,8GB,No OS
Acer,Ultrabook,8GB,Windows 10
Dell,Notebook,8GB,Windows 10
,,,
Vero,Notebook,4GB,Windows 10
Xiaomi,Ultrabook,8GB,No OS
Lenovo,Notebook,8GB,No OS
Dell,2 in 1 Convertible,8GB,Windows 10
HP,Notebook,8GB,Windows 10
Razer,Gaming,32GB,Windows 10
HP,Notebook,8GB,Windows 10
HP,Gaming,16GB,Windows 10
HP,Notebook,8GB,Windows 10
Dell,Gaming,16GB,Windows 10
Lenovo,Notebook,4GB,Windows 10
Acer,Notebook,8GB,Windows 10
Lenovo,Gaming,16GB,Windows 10
Dell,Workstation,16GB,Windows 10
Lenovo,Gaming,16GB,No OS
Dell,Notebook,6GB,Windows 10
Dell,Ultrabook,8GB,Windows 10
Dell,Ultrabook,8GB,Windows 10
,,,
Acer,Notebook,8GB,Linux
Asus,Gaming,16GB,Windows 10
HP,Notebook,4GB,No OS
Lenovo,Notebook,8GB,No OS
Huawei,Ultrabook,8GB,Windows 10
Dell,Ultrabook,8GB,Windows 10
Lenovo,Notebook,8GB,No OS
HP,Notebook,8GB,Windows 10
Dell,Ultrabook,8GB,Windows 10
Dell,2 in 1 Convertible,16GB,Windows 10
Dell,Notebook,8GB,Linux
Lenovo,2 in 1 Convertible,8GB,Windows 10
Toshiba,Ultrabook,8GB,Windows 10
HP,Notebook,8GB,Windows 10
Dell,Gaming,16GB,Windows 10
Acer,Notebook,8GB,Windows 10
Dell,Notebook,16GB,Windows 10
Asus,Notebook,8GB,Windows 10
Asus,Notebook,8GB,Windows 10
HP,Notebook,8GB,Windows 10
Asus,Notebook,4GB,Windows 10
HP,Notebook,4GB,Windows 10
Lenovo,Gaming,16GB,Windows 10
Dell,Notebook,8GB,Windows 10
Acer,2 in 1 Convertible,8GB,Windows 10
Dell,Notebook,16GB,Linux
Acer,Notebook,4GB,Linux
Asus,Notebook,4GB,Windows 10
Asus,Gaming,32GB,Windows 10
Acer,Gaming,8GB,Windows 10
Lenovo,Notebook,8GB,Windows 10
Asus,Notebook,8GB,Windows 10
Asus,Notebook,8GB,No OS
Dell,Gaming,8GB,Windows 10
Lenovo,2 in 1 Convertible,8GB,Windows 10
Dell,Notebook,8GB,Windows 10
HP,Notebook,8GB,Windows 10
Asus,Gaming,16GB,Windows 10
HP,Notebook,4GB,Windows 10
Apple,Ultrabook,8GB,macOS
Dell,2 in 1 Convertible,8GB,Windows 10
Asus,Gaming,16GB,Windows 10
Asus,Notebook,4GB,Windows 10
Lenovo,2 in 1 Convertible,8GB,Windows 10
Acer,Notebook,4GB,Windows 10
Dell,Ultrabook,8GB,Windows 10
HP,Notebook,8GB,Windows 10
HP,Notebook,16GB,Windows 10
MSI,Gaming,16GB,Windows 10
Lenovo,2 in 1 Convertible,8GB,Windows 10
Dell,Notebook,8GB,Windows 10
Lenovo,Notebook,4GB,No OS
HP,Notebook,4GB,Windows 10
Dell,Notebook,4GB,Windows 10
Dell,Notebook,8GB,Windows 10
Dell,2 in 1 Convertible,8GB,Windows 10
Asus,2 in 1 Convertible,8GB,Windows 10
,,,
HP,Notebook,8GB,Windows 10
Lenovo,Notebook,8GB,Windows 10
Apple,Ultrabook,8GB,macOS
Asus,Gaming,16GB,Windows 10
Dell,Notebook,8GB,Linux
Lenovo,2 in 1 Convertible,16GB,Windows 10
Toshiba,Notebook,8GB,Windows 10
Dell,Notebook,12GB,Windows 10
Dell,Notebook,8GB,Linux
Acer,Notebook,8GB,Windows 10
Lenovo,Notebook,4GB,Windows 10
Lenovo,Notebook,8GB,No OS
Lenovo,Notebook,6GB,Windows 10
Dell,Notebook,4GB,Linux
Lenovo,Gaming,8GB,Windows 10
Lenovo,Notebook,6GB,Windows 10
Acer,Notebook,8GB,Windows 10
Acer,Notebook,12GB,Windows 10
Lenovo,Notebook,8GB,Windows 10
Asus,Ultrabook,8GB,Windows 10
Lenovo,Gaming,16GB,Windows 10
Lenovo,Notebook,8GB,No OS
Acer,Notebook,2GB,Chrome OS
Asus,Gaming,8GB,Windows 10
HP,Notebook,8GB,Windows 10
Dell,Notebook,8GB,Windows 10
Lenovo,Notebook,8GB,Windows 10
Lenovo,Gaming,8GB,Windows 10
Acer,Notebook,8GB,Linux
Dell,Workstation,16GB,Windows 10
Lenovo,Notebook,6GB,Windows 10
Asus,Ultrabook,16GB,Windows 10
Asus,Notebook,4GB,Windows 10
Asus,Gaming,16GB,Windows 10
Lenovo,Notebook,6GB,Windows 10
Lenovo,Notebook,8GB,No OS
Asus,Gaming,8GB,Windows 10
Lenovo,Notebook,4GB,No OS
HP,2 in 1 Convertible,16GB,Windows 10
Toshiba,Notebook,8GB,Windows 10
Lenovo,Notebook,8GB,Windows 10
HP,Notebook,4GB,Windows 10
Lenovo,Notebook,8GB,Windows 10
Dell,Ultrabook,16GB,Windows 10
MSI,Gaming,16GB,Windows 10
Acer,Notebook,8GB,Windows 10
Asus,2 in 1 Convertible,2GB,Windows 10
Dell,Notebook,8GB,Windows 10
HP,2 in 1 Convertible,16GB,Windows 10
Lenovo,Notebook,4GB,Chrome OS
HP,Notebook,8GB,Windows 10
Acer,Notebook,4GB,Windows 10
HP,Notebook,8GB,Windows 10
Lenovo,Notebook,4GB,Windows 10
Asus,Notebook,8GB,Windows 10
HP,Notebook,8GB,Windows 10
Acer,Notebook,8GB,Windows 10
Lenovo,Notebook,4GB,Windows 10
Acer,Notebook,6GB,Windows 10
Asus,Ultrabook,8GB,Windows 10
HP,Ultrabook,8GB,Windows 10
Dell,Notebook,32GB,Windows 10
MSI,Gaming,8GB,Windows 10
Toshiba,Notebook,8GB,Windows 10
Asus,Notebook,8GB,Windows 10
Lenovo,Notebook,4GB,Windows 10
Asus,Gaming,8GB,Windows 10
HP,Notebook,8GB,Windows 10
,,,
HP,Notebook,8GB,Windows 10
Asus,Notebook,4GB,Linux
Dell,Notebook,8GB,Windows 10
Dell,Notebook,4GB,Linux
Lenovo,Notebook,12GB,Windows 10
HP,Notebook,8GB,Windows 10
Lenovo,2 in 1 Convertible,16GB,Windows 10
Dell,Ultrabook,8GB,Windows 10
Lenovo,Gaming,16GB,Windows 10
HP,Notebook,2GB,Windows 10
Dell,Ultrabook,16GB,Windows 10
Asus,2 in 1 Convertible,4GB,Windows 10
Dell,Ultrabook,8GB,Windows 10
,,,
HP,Notebook,8GB,Windows 10
MSI,Gaming,8GB,Windows 10
HP,Workstation,8GB,Windows 10
Toshiba,Notebook,16GB,Windows 10
Dell,Notebook,8GB,Windows 10
Lenovo,Notebook,4GB,No OS
Dell,Gaming,8GB,Windows 10
Dell,Notebook,8GB,Windows 10
Dell,Notebook,8GB,Windows 10
HP,Notebook,4GB,Windows 10
Asus,Notebook,8GB,Windows 10
Lenovo,Notebook,6GB,Windows 10
HP,Notebook,8GB,Windows 10
Lenovo,Notebook,8GB,No OS
HP,Notebook,8GB,Windows 10
Dell,Notebook,8GB,Windows 10
Lenovo,Gaming,8GB,No OS
Dell,Notebook,8GB,Windows 10
HP,Ultrabook,8GB,Windows 10
Asus,2 in 1 Convertible,12GB,Windows 10
Acer,Notebook,4GB,Windows 10
Asus,Gaming,16GB,Windows 10
Lenovo,Notebook,4GB,Windows 10
Dell,2 in 1 Convertible,8GB,Windows 10
HP,Notebook,4GB,Windows 10
