Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Cpu_Value,Cpu_Generation,Memory_Type,Gpu_Category
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,128gb ssd,intel iris plus graphics 640,macOS,1.37kg,21466425.185568,1,1,1,Card onboard
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,128gb flash storage,intel hd graphics 6000,macOS,1.34kg,14404099.647168001,1,1,0,Card onboard
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256gb ssd,intel hd graphics 620,No OS,1.86kg,9213470.64,1,1,1,Card onboard
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16GB,512gb ssd,amd radeon pro 455,macOS,1.83kg,40658645.34864,1,2,1,Khác
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,256gb ssd,intel iris plus graphics 650,macOS,1.37kg,28899853.297920004,1,1,1,Card onboard
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,500gb hdd,amd radeon r5,Windows 10,2.1kg,6409370.88,2,other,2,Khác
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16GB,256gb flash storage,intel iris pro graphics,Mac OS X,2.04kg,34289653.505184,1,2,0,Card onboard
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,256gb flash storage,intel hd graphics 6000,macOS,1.34kg,18566345.096640002,1,1,0,Card onboard
Asus,Ultrabook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512gb ssd,nvidia geforce mx150,Windows 10,1.3kg,23955023.664,1,2,1,Card rời
Acer,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256gb ssd,intel uhd graphics 620,Windows 10,1.6kg,12338038.944,1,1,1,Card onboard
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500gb hdd,intel hd graphics 620,No OS,1.86kg,6311627.97408,1,1,2,Card onboard
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500gb hdd,intel hd graphics 520,No OS,1.86kg,5527922.149728,1,3,2,Card onboard
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,256gb ssd,amd radeon pro 555,macOS,1.83kg,39096681.665184,1,2,1,Khác
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256gb ssd,amd radeon r5 m430,Windows 10,2.2kg,7994087.83008,1,3,1,Khác
