Company,TypeName,Ram,OpSys
Apple,Ultrabook,8,macOS
Apple,Ultrabook,8,macOS
HP,Notebook,8,No OS
Apple,Ultrabook,16,macOS
Apple,Ultrabook,8,macOS
Acer,Notebook,4,Windows 10
Apple,Ultrabook,16,Mac OS X
Apple,Ultrabook,8,macOS
Asus,Ultrabook,16,Windows 10
Acer,Ultrabook,8,Windows 10
HP,Notebook,4,No OS
HP,Notebook,4,No OS
Apple,Ultrabook,16,macOS
Dell,Notebook,4,Windows 10
Apple,Ultrabook,8,macOS
Apple,Ultrabook,8,macOS
Dell,Notebook,8,Windows 10
Apple,Ultrabook,16,macOS
Lenovo,Notebook,8,No OS
Dell,Ultrabook,8,Windows 10
Lenovo,Gaming,8,Windows 10
HP,Notebook,4,No OS
Dell,2 in 1 Convertible,8,Windows 10
HP,Ultrabook,8,Windows 10
Dell,Notebook,4,Windows 10
Apple,Ultrabook,8,Mac OS X
Dell,Notebook,8,Windows 10
Dell,Ultrabook,8,Windows 10
HP,Notebook,8,Windows 10
Chuwi,Notebook,4,Windows 10
Asus,Notebook,2,Windows 10
HP,Notebook,4,Windows 10
Dell,Ultrabook,16,Windows 10
Apple,Ultrabook,8,Mac OS X
Lenovo,Notebook,4,Windows 10
Acer,Notebook,4,Linux
Dell,Notebook,8,Windows 10
HP,Notebook,4,Windows 10
HP,Notebook,8,Windows 10
Asus,Notebook,4,Linux
Dell,Gaming,16,Windows 10
Asus,Notebook,8,Linux
Acer,Notebook,4,Windows 10
Dell,2 in 1 Convertible,12,Windows 10
Apple,Ultrabook,8,macOS
Asus,Gaming,8,Windows 10
Dell,Notebook,4,Windows 10
Asus,Notebook,4,Windows 10
Acer,Notebook,8,Windows 10
HP,Notebook,4,Windows 10
HP,Notebook,8,Windows 10
Acer,Notebook,4,Windows 10
Dell,Notebook,8,Windows 10
HP,Notebook,4,Windows 10
Asus,Notebook,4,Windows 10
MSI,Gaming,16,Windows 10
Asus,Notebook,4,Linux
Dell,Notebook,16,Windows 10
Dell,Ultrabook,8,Windows 10
Lenovo,Notebook,8,No OS
Asus,Notebook,8,Windows 10
HP,Notebook,8,Windows 10
Asus,Ultrabook,16,Windows 10
HP,Notebook,4,Windows 10
HP,Notebook,4,Windows 10
Lenovo,Notebook,4,Windows 10
Asus,Gaming,12,Linux
Microsoft,Ultrabook,4,Windows 10 S
Dell,Ultrabook,64,Windows 10
Dell,Notebook,8,Windows 10
MSI,Gaming,8,Windows 10
Acer,Notebook,8,Windows 10
Asus,Gaming,8,Windows 10
Lenovo,Notebook,8,No OS
Dell,Notebook,8,Windows 10
Acer,Notebook,4,Windows 10
HP,Notebook,8,Windows 10
Dell,Ultrabook,8,Windows 10
Apple,Ultrabook,8,macOS
HP,Notebook,8,Windows 10
Lenovo,Notebook,4,Windows 10
Acer,Notebook,4,Windows 10
Dell,Gaming,16,Windows 10
HP,Ultrabook,8,Windows 10
HP,Notebook,8,Windows 10
Asus,Gaming,16,Windows 10
Dell,Ultrabook,8,Windows 10
Asus,Gaming,8,Windows 10
Acer,Notebook,2,Windows 10
HP,Notebook,16,Windows 10
Dell,Gaming,8,Windows 10
Asus,Ultrabook,8,Windows 10
Acer,2 in 1 Convertible,8,Windows 10
Dell,Notebook,8,Linux
Dell,Notebook,4,Linux
Asus,Notebook,6,Windows 10
HP,Gaming,12,Windows 10
HP,Notebook,8,Windows 10
HP,Notebook,4,Windows 10
Dell,Notebook,8,Linux
HP,Ultrabook,8,Windows 10
Microsoft,Ultrabook,8,Windows 10 S
HP,Notebook,6,Windows 10
Lenovo,Notebook,4,Windows 10
Asus,Ultrabook,8,Windows 10
MSI,Gaming,16,Windows 10
Lenovo,Notebook,8,Windows 10
Asus,Ultrabook,16,Windows 10
Dell,Ultrabook,8,Windows 10
Lenovo,2 in 1 Convertible,8,Windows 10
HP,Notebook,4,Windows 10
Dell,Ultrabook,8,Windows 10
HP,Notebook,8,Windows 10
Dell,Notebook,8,Windows 10
Asus,Notebook,4,Windows 10
Asus,Notebook,8,Windows 10
Acer,Notebook,6,Windows 10
MSI,Gaming,16,Windows 10
Lenovo,Notebook,8,No OS
HP,Notebook,16,Windows 10
Acer,Notebook,4,Windows 10
HP,Notebook,8,Windows 10
Asus,Notebook,4,Windows 10 S
Dell,Notebook,16,Windows 10
HP,Notebook,8,Windows 10
Dell,Notebook,8,Windows 10
Dell,Notebook,4,Windows 10
Acer,Ultrabook,8,Windows 10
Acer,Notebook,4,Windows 10
HP,Notebook,8,Windows 10
HP,Notebook,8,Windows 10
Lenovo,Notebook,4,No OS
Asus,Gaming,8,Windows 10
Lenovo,Notebook,4,No OS
HP,Notebook,4,Windows 10
Acer,Notebook,4,Windows 10
Lenovo,Notebook,8,Windows 10
Lenovo,Gaming,8,No OS
Toshiba,Notebook,4,Windows 10
HP,Notebook,4,Windows 10
Asus,Ultrabook,8,Windows 10
HP,Ultrabook,8,Windows 10
Asus,Notebook,4,Windows 10
Acer,Notebook,4,Windows 10
Dell,Gaming,16,Windows 10
Dell,Gaming,8,Windows 10
Lenovo,Notebook,4,Windows 10
MSI,Gaming,16,Windows 10
HP,Ultrabook,4,Windows 10
HP,Notebook,6,Windows 10
Lenovo,2 in 1 Convertible,4,Windows 10
Asus,2 in 1 Convertible,8,Windows 10
Dell,2 in 1 Convertible,8,Windows 10
Toshiba,Notebook,4,Windows 10
Asus,Notebook,4,Windows 10
Acer,Notebook,4,Windows 10
Dell,Notebook,8,Windows 10
Lenovo,Gaming,16,Windows 10
Acer,Notebook,4,Windows 10
MSI,Gaming,16,Windows 10
Acer,Notebook,4,Windows 10
Dell,Gaming,8,Windows 10
Acer,Notebook,8,Windows 10
HP,Notebook,4,Windows 10
Huawei,Ultrabook,8,Windows 10
HP,Notebook,6,Windows 10
Lenovo,Notebook,4,No OS
Toshiba,Notebook,4,Windows 10
HP,Notebook,8,Windows 10
Dell,Notebook,8,Windows 10
Acer,Notebook,4,Windows 10
MSI,Gaming,32,Windows 10
Lenovo,Notebook,8,Windows 10
HP,2 in 1 Convertible,8,Windows 10
Dell,Notebook,16,Linux
Dell,Ultrabook,8,Windows 10
Lenovo,2 in 1 Convertible,16,Windows 10
Toshiba,Notebook,8,Windows 10
Xiaomi,Notebook,8,No OS
Dell,Notebook,16,Windows 10
Dell,Notebook,16,Windows 10
Lenovo,Gaming,8,No OS
Acer,Ultrabook,8,Windows 10
Dell,Notebook,8,Windows 10
Vero,Notebook,4,Windows 10
Xiaomi,Ultrabook,8,No OS
Lenovo,Notebook,8,No OS
Dell,2 in 1 Convertible,8,Windows 10
HP,Notebook,8,Windows 10
Razer,Gaming,32,Windows 10
HP,Notebook,8,Windows 10
HP,Gaming,16,Windows 10
HP,Notebook,8,Windows 10
Dell,Gaming,16,Windows 10
Lenovo,Notebook,4,Windows 10
Acer,Notebook,8,Windows 10
Lenovo,Gaming,16,Windows 10
Dell,Workstation,16,Windows 10
Lenovo,Gaming,16,No OS
Dell,Notebook,6,Windows 10
Dell,Ultrabook,8,Windows 10
Dell,Ultrabook,8,Windows 10
Acer,Notebook,8,Linux
Asus,Gaming,16,Windows 10
HP,Notebook,4,No OS
Lenovo,Notebook,8,No OS
Huawei,Ultrabook,8,Windows 10
Dell,Ultrabook,8,Windows 10
Lenovo,Notebook,8,No OS
HP,Notebook,8,Windows 10
Dell,Ultrabook,8,Windows 10
Dell,2 in 1 Convertible,16,Windows 10
Dell,Notebook,8,Linux
Lenovo,2 in 1 Convertible,8,Windows 10
Toshiba,Ultrabook,8,Windows 10
HP,Notebook,8,Windows 10
Dell,Gaming,16,Windows 10
Acer,Notebook,8,Windows 10
Dell,Notebook,16,Windows 10
Asus,Notebook,8,Windows 10
Asus,Notebook,8,Windows 10
HP,Notebook,8,Windows 10
Asus,Notebook,4,Windows 10
HP,Notebook,4,Windows 10
Lenovo,Gaming,16,Windows 10
Dell,Notebook,8,Windows 10
Acer,2 in 1 Convertible,8,Windows 10
Dell,Notebook,16,Linux
Acer,Notebook,4,Linux
Asus,Notebook,4,Windows 10
Asus,Gaming,32,Windows 10
Acer,Gaming,8,Windows 10
Lenovo,Notebook,8,Windows 10
Asus,Notebook,8,Windows 10
Asus,Notebook,8,No OS
Dell,Gaming,8,Windows 10
Lenovo,2 in 1 Convertible,8,Windows 10
Dell,Notebook,8,Windows 10
HP,Notebook,8,Windows 10
Asus,Gaming,16,Windows 10
HP,Notebook,4,Windows 10
Apple,Ultrabook,8,macOS
Dell,2 in 1 Convertible,8,Windows 10
Asus,Gaming,16,Windows 10
Asus,Notebook,4,Windows 10
Lenovo,2 in 1 Convertible,8,Windows 10
Acer,Notebook,4,Windows 10
Dell,Ultrabook,8,Windows 10
HP,Notebook,8,Windows 10
HP,Notebook,16,Windows 10
MSI,Gaming,16,Windows 10
Lenovo,2 in 1 Convertible,8,Windows 10
Dell,Notebook,8,Windows 10
Lenovo,Notebook,4,No OS
HP,Notebook,4,Windows 10
Dell,Notebook,4,Windows 10
Dell,Notebook,8,Windows 10
Dell,2 in 1 Convertible,8,Windows 10
Asus,2 in 1 Convertible,8,Windows 10
HP,Notebook,8,Windows 10
Lenovo,Notebook,8,Windows 10
Apple,Ultrabook,8,macOS
Asus,Gaming,16,Windows 10
Dell,Notebook,8,Linux
Lenovo,2 in 1 Convertible,16,Windows 10
Toshiba,Notebook,8,Windows 10
Dell,Notebook,12,Windows 10
Dell,Notebook,8,Linux
Acer,Notebook,8,Windows 10
